product_name,total_revenue,,,product_name,total_revenue,rank_products,,,product_name,total_revenue,,,customer_key,first_name,last_name,total_revenue,,,customer_key,first_name,last_name,total_orders
Mountain-200 Black- 46,1373454,,,Mountain-200 Black- 46,1373454,1,,,Racing Socks- L,2430,,,1302,Nichole,Nara,13294,,,16,Chloe,Young,1
Mountain-200 Black- 42,1363128,,,Mountain-200 Black- 42,1363128,2,,,Racing Socks- M,2682,,,1133,Kaitlyn,Henderson,13294,,,17,Wyatt,Hill,1
Mountain-200 Silver- 38,1339394,,,Mountain-200 Silver- 38,1339394,3,,,Patch Kit/8 Patches,6382,,,1309,Margaret,He,13268,,,21,Jordan,King,1
Mountain-200 Silver- 46,1301029,,,Mountain-200 Silver- 46,1301029,4,,,Bike Wash - Dissolver,7272,,,1132,Randall,Dominguez,13265,,,,,,
Mountain-200 Black- 38,1294854,,,Mountain-200 Black- 38,1294854,5,,,Touring Tire Tube,7440,,,1301,Adriana,Gonzalez,13242,,,,,,
,,,,,,,,,,,,,1322,Rosa,Hu,13215,,,,,,
,,,,,,,,,,,,,1125,Brandi,Gill,13195,,,,,,
,,,,,,,,,,,,,1308,Brad,She,13172,,,,,,
,,,,,,,,,,,,,1297,Francisco,Sara,13164,,,,,,
,,,,,,,,,,,,,434,Maurice,Shan,12914,,,,,,
